,sku,style,skushortname,size,bin,zone,inv_bucket,soh,available_qty,commited_qty,picked_qty,hold_qty,unit_wac,inv_cost,sku_barcode,location,brand_name,uom
1458,HOLBORN-SILVER-08,HOLBORN-SILVER-08,Holborn-Silver-08,08,11.17,Saleable Zone,good,15,15,0,0,0,40.99,614.85,8907928292741,Warehouse,Off The Hook,Pcs
1459,HOLBORN-SILVER-08,HOLBORN-SILVER-08,Holborn-Silver-08,08,OTH-R,SALZON2,good,20,20,0,0,0,40.99,819.8,8907928292741,Warehouse,Off The Hook,Pcs
1460,HOLBORN-YELLOW-03,HOLBORN-YELLOW-03,Holborn-Yellow-03,03,11.15,Saleable Zone,good,10,10,0,0,0,40.99,409.9,8907928294912,Warehouse,Off The Hook,Pcs
1461,HOLBORN-YELLOW-03,HOLBORN-YELLOW-03,Holborn-Yellow-03,03,OTH-R,SALZON2,good,32,32,0,0,0,40.99,1311.68,8907928294912,Warehouse,Off The Hook,Pcs
1462,HOLBORN-YELLOW-04,HOLBORN-YELLOW-04,Holborn-Yellow-04,04,11.15,Saleable Zone,good,10,10,0,0,0,40.99,409.9,8907928294936,Warehouse,Off The Hook,Pcs
1463,HOLBORN-YELLOW-04,HOLBORN-YELLOW-04,Holborn-Yellow-04,04,OTH-R,SALZON2,good,73,73,0,0,0,40.99,2992.27,8907928294936,Warehouse,Off The Hook,Pcs
1464,HOLBORN-YELLOW-05,HOLBORN-YELLOW-05,Holborn-Yellow-05,05,11.15,Saleable Zone,good,7,7,0,0,0,40.99,286.93,8907928294950,Warehouse,Off The Hook,Pcs
1465,HOLBORN-YELLOW-05,HOLBORN-YELLOW-05,Holborn-Yellow-05,05,OTH-R,SALZON2,good,115,115,0,0,0,40.99,4713.85,8907928294950,Warehouse,Off The Hook,Pcs
1466,HOLBORN-YELLOW-06,HOLBORN-YELLOW-06,Holborn-Yellow-06,06,11.15,Saleable Zone,good,8,8,0,0,0,40.99,327.92,8907928294974,Warehouse,Off The Hook,Pcs
1467,HOLBORN-YELLOW-06,HOLBORN-YELLOW-06,Holborn-Yellow-06,06,OTH-R,SALZON2,good,115,115,0,0,0,40.99,4713.85,8907928294974,Warehouse,Off The Hook,Pcs
1468,HOLBORN-YELLOW-07,HOLBORN-YELLOW-07,Holborn-Yellow-07,07,11.15,Saleable Zone,good,9,9,0,0,0,40.99,368.91,8907928294998,Warehouse,Off The Hook,Pcs
1469,HOLBORN-YELLOW-07,HOLBORN-YELLOW-07,Holborn-Yellow-07,07,OTH-R,SALZON2,good,73,73,0,0,0,40.99,2992.27,8907928294998,Warehouse,Off The Hook,Pcs
1470,HOLBORN-YELLOW-08,HOLBORN-YELLOW-08,Holborn-Yellow-08,08,11.15,Saleable Zone,good,8,8,0,0,0,40.99,327.92,8907928295018,Warehouse,Off The Hook,Pcs
1471,HOLBORN-YELLOW-08,HOLBORN-YELLOW-08,Holborn-Yellow-08,08,OTH-R,SALZON2,good,32,32,0,0,0,40.99,1311.68,8907928295018,Warehouse,Off The Hook,Pcs
1472,HOLLY-BLACK-01,HOLLY-BLACK-01,Holly-Black-01,01,OTH-R,SALZON2,good,10,10,0,0,0,10.35,103.5,8907928300422,Warehouse,Off The Hook,Pcs
1473,HOLLY-BLACK-02,HOLLY-BLACK-02,Holly-Black-02,02,OTH-R,SALZON2,good,10,10,0,0,0,10.35,103.5,8907928300439,Warehouse,Off The Hook,Pcs
1474,HOLLY-BLACK-03,HOLLY-BLACK-03,Holly-Black-03,03,OTH-R,SALZON2,good,10,10,0,0,0,10.35,103.5,8907928300446,Warehouse,Off The Hook,Pcs
1475,HOLLY-BLACK-04,HOLLY-BLACK-04,Holly-Black-04,04,OTH-R,SALZON2,good,10,10,0,0,0,10.35,103.5,8907928300453,Warehouse,Off The Hook,Pcs
1476,HOLLY-BLACK-05,HOLLY-BLACK-05,Holly-Black-05,05,OTH-R,SALZON2,good,10,10,0,0,0,10.35,103.5,8907928300460,Warehouse,Off The Hook,Pcs
1477,HOLLY-BLACK-06,HOLLY-BLACK-06,Holly-Black-06,06,OTH-R,SALZON2,good,10,10,0,0,0,10.35,103.5,8907928300477,Warehouse,Off The Hook,Pcs
1478,HOLLY-BLACK-12,HOLLY-BLACK-12,Holly-Black-12,12,OTH-R,SALZON2,good,10,10,0,0,0,10.35,103.5,8907928300408,Warehouse,Off The Hook,Pcs
1479,HOLLY-BLACK-13,HOLLY-BLACK-13,Holly-Black-13,13,OTH-R,SALZON2,good,10,10,0,0,0,10.35,103.5,8907928300415,Warehouse,Off The Hook,Pcs
1480,HUTCHINS-BLACK-10,HUTCHINS-BLACK-10,Hutchins-Black-10,10/44,11.12,Saleable Zone,good,10,10,0,0,0,25,250,8907928282490,Warehouse,Thomas Crick,Pcs
1481,HUTCHINS-BLACK-10,HUTCHINS-BLACK-10,Hutchins-Black-10,10/44,TC-R,SALZON2,good,200,200,0,0,0,25,5000,8907928282490,Warehouse,Thomas Crick,Pcs
1482,HUTCHINS-BLACK-11,HUTCHINS-BLACK-11,Hutchins-Black-11,11/45,11.12,Saleable Zone,good,10,10,0,0,0,25,250,8907928282483,Warehouse,Thomas Crick,Pcs
1483,HUTCHINS-BLACK-11,HUTCHINS-BLACK-11,Hutchins-Black-11,11/45,TC-R,SALZON2,good,150,150,0,0,0,25,3750,8907928282483,Warehouse,Thomas Crick,Pcs
1484,HUTCHINS-BLACK-12,HUTCHINS-BLACK-12,Hutchins-Black-12,12/46,11.12,Saleable Zone,good,9,9,0,0,0,25,225,8907928282476,Warehouse,Thomas Crick,Pcs
1485,HUTCHINS-BLACK-12,HUTCHINS-BLACK-12,Hutchins-Black-12,12/46,TC-R,SALZON2,good,60,60,0,0,0,25,1500,8907928282476,Warehouse,Thomas Crick,Pcs
1486,HUTCHINS-BLACK-7,HUTCHINS-BLACK-7,Hutchins-Black-7,07/41,11.12,Saleable Zone,good,6,6,0,0,0,25,150,8907928282520,Warehouse,Thomas Crick,Pcs
1487,HUTCHINS-BLACK-7,HUTCHINS-BLACK-7,Hutchins-Black-7,07/41,TC-R,SALZON2,good,70,70,0,0,0,25,1750,8907928282520,Warehouse,Thomas Crick,Pcs
1488,HUTCHINS-BLACK-8,HUTCHINS-BLACK-8,Hutchins-Black-8,08/42,TC-R,SALZON2,good,130,130,0,0,0,25,3250,8907928282513,Warehouse,Thomas Crick,Pcs
1489,HUTCHINS-BLACK-9,HUTCHINS-BLACK-9,Hutchins-Black-9,09/43,11.12,Saleable Zone,good,10,10,0,0,0,25,250,8907928282506,Warehouse,Thomas Crick,Pcs
1490,HUTCHINS-BLACK-9,HUTCHINS-BLACK-9,Hutchins-Black-9,09/43,TC-R,SALZON2,good,190,190,0,0,0,25,4750,8907928282506,Warehouse,Thomas Crick,Pcs
1491,HUTCHINS-BROWN-10,HUTCHINS-BROWN-10,Hutchins-Brown-10,10/44,4.6,Saleable Zone,good,4,4,0,0,0,25,100,8907928282438,Warehouse,Thomas Crick,Pcs
1492,HUTCHINS-BROWN-10,HUTCHINS-BROWN-10,Hutchins-Brown-10,10/44,TC-R,SALZON2,good,200,200,0,0,0,25,5000,8907928282438,Warehouse,Thomas Crick,Pcs
1493,HUTCHINS-BROWN-11,HUTCHINS-BROWN-11,Hutchins-Brown-11,11/45,4.6,Saleable Zone,good,5,5,0,0,0,25,125,8907928282421,Warehouse,Thomas Crick,Pcs
